Planned Amount,Expenditure Incurred,Financial Year,Not Onboarded,Scheme,Month Book Closed,Month Book Not Closed,ZP Name,No of ZPs,Available Amount,state_code_census,States,Year Book Not Closed,zp_code,Year Book Closed,Opening Balance,region,Total Release,Unspent Balance,state_code_lgd,Receipts,Onboarded
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,Churachandpur District Council,1,0.00E+00,14,MANIPUR,1,254934,0,0.00E+00,North East,0.00E+00,0.00E+00,14,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,Sardar Hills District Council,1,0.00E+00,14,MANIPUR,1,254935,0,0.00E+00,North East,0.00E+00,0.00E+00,14,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,Senapati District Council,1,0.00E+00,14,MANIPUR,1,254936,0,0.00E+00,North East,0.00E+00,0.00E+00,14,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,Ukhrul District Council,1,0.00E+00,14,MANIPUR,1,254937,0,0.00E+00,North East,0.00E+00,0.00E+00,14,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,Tamenglong District Council,1,0.00E+00,14,MANIPUR,1,254938,0,0.00E+00,North East,0.00E+00,0.00E+00,14,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,District Panchayat of Diu,1,0.00E+00,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,1,259706,0,0.00E+00,West,0.00E+00,0.00E+00,38,0.00E+00,0
"122,816,527.00","64,935,841.00",2021-2022,0,XV Finance Commission,1,0,SAMBHAL,1,237708442,9,UTTAR PRADESH,0,259726,1,150965123,Central,61404068,172772601,9,86743319,1
"65,544,270.00","37,362,495.00",2021-2022,0,XV Finance Commission,1,0,SHAMLI,1,102746265,9,UTTAR PRADESH,0,259727,1,89111759,Central,32769890,65383770,9,13634506,1
"65,285,632.00","29,068,759.00",2021-2022,0,XV Finance Commission,1,0,HAPUR,1,121796136,9,UTTAR PRADESH,0,259728,1,88675761,Central,32640544,92727377,9,33120375,1
"23,405,215.00",0.00,2021-2022,0,XV Finance Commission,1,0,Pathankot,1,35388216.4,3,PUNJAB,0,259737,1,14875575.4,North,20512641,35388216.4,3,20512641,1
"91,339,952.00","1,641,920.00",2021-2022,0,XV Finance Commission,1,0,Fazilka,1,133027232,3,PUNJAB,0,260791,1,9208152,North,80051546,131385312,3,123819080,1
"144,892,000.00",0.00,2021-2022,0,XV Finance Commission,1,0,PALGHAR,1,647552762,27,MAHARASHTRA,0,261449,1,647552762,West,0.00E+00,647552762,27,0.00E+00,1
0.00,0.00,2021-2022,1,XV Finance Commission,1,0,LONGDING,1,0.00E+00,12,ARUNACHAL PRADESH,1,262016,0,0.00E+00,North East,0.00E+00,0.00E+00,12,0.00E+00,0
"13,071,275.00","7,000,000.00",2021-2022,0,XV Finance Commission,1,0,AGAR MALWA,1,17606056,23,MADHYA PRADESH,0,262066,1,17606056,Central,0.00E+00,10606056,23,0.00E+00,1
"142,683,468.00","11,927,338.00",2021-2022,0,XV Finance Commission,1,0,ALIPURDUAR,1,147104557.8,19,WEST BENGAL,0,263853,1,73723930.81,East,0.00E+00,135177219.8,19,73380627,1
