Planned Amount,Expenditure Incurred,Financial Year,Not Onboarded,Scheme,Month Book Closed,Month Book Not Closed,ZP Name,No of ZPs,Available Amount,state_code_census,States,Year Book Not Closed,zp_code,Year Book Closed,Opening Balance,region,Total Release,Unspent Balance,state_code_lgd,Receipts,Onboarded
"34,214,329.00",0.00,2021-2022,0,XV Finance Commission,1,0,SOLAN,1,53905520,2,HIMACHAL PRADESH,0,25,1,23578703,North,17222726,53905520,2,30326817,1
"33,728,901.00",0.00,2021-2022,0,XV Finance Commission,1,0,UNA,1,45984469,2,HIMACHAL PRADESH,0,26,1,22906808,North,17020833,45984469,2,23077661,1
"70,276,991.00","47,886,914.50",2021-2022,0,XV Finance Commission,1,0,AMRITSAR,1,90303402,3,PUNJAB,0,27,1,24118771,North,61591689,42416487.5,3,66184631,1
"50,215,902.00","13,200,008.00",2021-2022,0,XV Finance Commission,1,0,BATHINDA,1,51633619,3,PUNJAB,0,28,1,4491959,North,44009882,38433611,3,47141660,1
"24,341,530.00","17,990,473.00",2021-2022,0,XV Finance Commission,1,0,FARIDKOT,1,38987185,3,PUNJAB,0,29,1,16559786,North,21333240,20996712,3,22427399,1
"23,783,346.00","12,448,000.00",2021-2022,0,XV Finance Commission,1,0,FATEHGARH SAHIB,1,37397370,3,PUNJAB,0,30,1,16553331,North,20844039,24949370,3,20844039,1
"41,934,562.00","7,047,352.00",2021-2022,0,XV Finance Commission,1,0,FIROZEPUR,1,29311176,3,PUNJAB,0,31,1,29311176,North,0.00E+00,22263824,3,0.00E+00,1
"72,165,169.00","24,714,714.00",2021-2022,0,XV Finance Commission,1,0,GURDASPUR,1,113690524,3,PUNJAB,0,32,1,49636454,North,63246510,88975810,3,64054070,1
"74,212,322.00","41,699,000.00",2021-2022,0,XV Finance Commission,1,0,HOSHIARPUR,1,115746608,3,PUNJAB,0,33,1,50705946,North,65040662,74047608,3,65040662,1
"60,676,847.00","2,650,000.00",2021-2022,0,XV Finance Commission,1,0,JALANDHAR,1,93875335,3,PUNJAB,0,34,1,40697342,North,53177993,91225335,3,53177993,1
"30,905,513.00",0.00,2021-2022,0,XV Finance Commission,1,0,KAPURTHALA,1,27177650,3,PUNJAB,0,35,1,0.00E+00,North,27086001,27177650,3,27177650,1
"88,405,150.00","112,574,434.00",2021-2022,0,XV Finance Commission,1,0,LUDHIANA,1,134173661,3,PUNJAB,0,36,1,56694392,North,77479269,21599227,3,77479269,1
"34,531,312.00","18,286,000.00",2021-2022,0,XV Finance Commission,1,0,MANSA,1,30721574,3,PUNJAB,0,37,1,457874,North,30263700,12435574,3,30263700,1
"44,149,130.00","23,915,000.00",2021-2022,0,XV Finance Commission,1,0,MOGA,1,70049099,3,PUNJAB,0,38,1,30973357,North,38692882,46134099,3,39075742,1
"39,933,857.00","6,481,848.00",2021-2022,0,XV Finance Commission,1,0,SRI MUKTSAR SAHIB,1,55586717,3,PUNJAB,0,39,1,19053888,North,34998561,49104869,3,36532829,1
"29,471,122.00","7,550,000.00",2021-2022,0,XV Finance Commission,1,0,NAWANSHAHR,1,45186662,3,PUNJAB,0,40,1,19275576,North,25828882,37636662,3,25911086,1
"69,969,273.00","89,778,132.00",2021-2022,0,XV Finance Commission,1,0,PATIALA,1,107758561,3,PUNJAB,0,41,1,46436561,North,61321999,17980429,3,61322000,1
"29,815,072.00",0.00,2021-2022,0,XV Finance Commission,1,0,RUPNAGAR,1,26402741,3,PUNJAB,0,42,1,139364,North,26130324,26402741,3,26263377,1
"135,223,780.00","451,541,600.00",2021-2022,0,XV Finance Commission,1,0,SANGRUR,1,844298888,3,PUNJAB,0,43,1,370251240,North,118511912,392757288,3,474047648,1
"49,185,000.00","6,074,532.00",2021-2022,0,XV Finance Commission,1,0,ALMORA,1,26804466,5,UTTARAKHAND,0,45,1,26804466,North,0.00E+00,20729934,5,0.00E+00,1
"29,280,000.00","6,499,377.00",2021-2022,0,XV Finance Commission,1,0,BAGESHWAR,1,55583437,5,UTTARAKHAND,0,46,1,39841437,North,0.00E+00,49084060,5,15742000,1
"49,590,000.00","13,140,269.00",2021-2022,0,XV Finance Commission,1,0,CHAMOLI,1,50172000,5,UTTARAKHAND,0,47,1,50172000,North,0.00E+00,37031731,5,0.00E+00,1
"22,365,000.00","6,207,872.00",2021-2022,0,XV Finance Commission,1,0,CHAMPAWAT,1,40169913,5,UTTARAKHAND,0,48,1,35696913,North,0.00E+00,33962041,5,4473000,1
"60,775,000.00","23,187,054.00",2021-2022,0,XV Finance Commission,1,0,DEHRADUN,1,40175521,5,UTTARAKHAND,0,49,1,40175521,North,0.00E+00,16988467,5,0.00E+00,1
"109,905,000.00",0.00,2021-2022,0,XV Finance Commission,1,0,HARIDWAR,1,39416150,5,UTTARAKHAND,0,50,1,39416150,North,0.00E+00,39416150,5,0.00E+00,1
"38,395,000.00","10,093,667.00",2021-2022,0,XV Finance Commission,1,0,NAINITAL,1,60807276,5,UTTARAKHAND,0,51,1,40164276,North,0.00E+00,50713609,5,20643000,1
"57,445,000.00","3,133,048.00",2021-2022,0,XV Finance Commission,1,0,PAURI GARHWAL,1,30601882,5,UTTARAKHAND,0,52,1,30601882,North,0.00E+00,27468834,5,0.00E+00,1
"43,420,000.00","19,152,473.00",2021-2022,0,XV Finance Commission,1,0,PITHORAGARH,1,67738204,5,UTTARAKHAND,0,53,1,29734204,North,0.00E+00,48585731,5,38004000,1
"24,010,000.00","3,696,473.00",2021-2022,0,XV Finance Commission,1,0,RUDRA PRAYAG,1,34947353,5,UTTARAKHAND,0,54,1,22038353,North,0.00E+00,31250880,5,12909000,1
"51,025,000.00","24,949,848.00",2021-2022,0,XV Finance Commission,1,0,TEHRI GARHWAL,1,63411332,5,UTTARAKHAND,0,55,1,35978332,North,0.00E+00,38461484,5,27433000,1
"67,800,000.00","26,564,928.00",2021-2022,0,XV Finance Commission,1,0,UDAM SINGH NAGAR,1,57751548,5,UTTARAKHAND,0,56,1,34859548,North,0.00E+00,31186620,5,22892000,1
"34,365,000.00","3,608,450.00",2021-2022,0,XV Finance Commission,1,0,UTTAR KASHI,1,53285000,5,UTTARAKHAND,0,57,1,0.00E+00,North,0.00E+00,49676550,5,53285000,1
"29,831,384.00",0.00,2021-2022,0,XV Finance Commission,1,0,AMBALA,1,52239407,6,HARYANA,0,58,1,34003126,North,0.00E+00,52239407,6,18236281,1
"71,354,672.00",0.00,2021-2022,0,XV Finance Commission,1,0,BHIWANI,1,125897988,6,HARYANA,0,59,1,81226759,North,0.00E+00,125897988,6,44671229,1
"15,139,506.00",0.00,2021-2022,0,XV Finance Commission,0,1,FARIDABAD,1,26320725,6,HARYANA,0,60,1,20506402,North,0.00E+00,26320725,6,5814323,1
"39,255,031.00",0.00,2021-2022,0,XV Finance Commission,1,0,FATEHABAD,1,48885003,6,HARYANA,0,61,1,33413138,North,0.00E+00,48885003,6,15471865,1
"18,073,400.00",0.00,2021-2022,0,XV Finance Commission,0,1,GURUGRAM,1,32580969,6,HARYANA,0,62,1,25640504,North,0.00E+00,32580969,6,6940465,1
"64,341,569.00",0.00,2021-2022,0,XV Finance Commission,0,1,HISAR,1,98085203,6,HARYANA,0,63,1,73374828,North,0.00E+00,98085203,6,24710375,1
"36,503,275.00","27,096,656.00",2021-2022,0,XV Finance Commission,1,0,JHAJJAR,1,57065039,6,HARYANA,0,64,1,42767169,North,0.00E+00,29968383,6,14297870,1
"51,494,088.00","27,918,813.00",2021-2022,0,XV Finance Commission,1,0,JIND,1,73251935,6,HARYANA,0,65,1,53207889,North,0.00E+00,45333122,6,20044046,1
"43,473,478.00",0.00,2021-2022,0,XV Finance Commission,1,0,KAITHAL,1,50423807,6,HARYANA,0,66,1,33974333,North,0.00E+00,50423807,6,16449474,1
"50,589,774.00","16,189,550.00",2021-2022,0,XV Finance Commission,1,0,KARNAL,1,82824045.5,6,HARYANA,0,67,1,43977014,North,0.00E+00,66634495.5,6,38847031.5,1
"33,743,393.00","12,964,315.00",2021-2022,0,XV Finance Commission,1,0,KURUKSHETRA,1,59840830,6,HARYANA,0,68,1,38874307,North,0.00E+00,46876515,6,20966523,1
"46,028,444.00",0.00,2021-2022,0,XV Finance Commission,0,1,MAHENDRAGARH,1,59011994,6,HARYANA,0,69,1,44455673,North,0.00E+00,59011994,6,14556321,1
"10,530,524.00","492,000.00",2021-2022,0,XV Finance Commission,1,0,PANCHKULA,1,16143160,6,HARYANA,0,70,1,12022968,North,0.00E+00,15651160,6,4120192,1
"32,329,743.00","3,752,543.00",2021-2022,0,XV Finance Commission,1,0,PANIPAT,1,49243170,6,HARYANA,0,71,1,36826951,North,0.00E+00,45490627,6,12416219,1
"34,847,872.00",0.00,2021-2022,0,XV Finance Commission,0,1,REWARI,1,35430038,6,HARYANA,0,72,1,22090157,North,0.00E+00,35430038,6,13339881,1
"30,102,780.00","7,508,888.00",2021-2022,0,XV Finance Commission,1,0,ROHTAK,1,41988070,6,HARYANA,0,73,1,29948536,North,0.00E+00,34479182,6,12039534,1
"55,906,782.00","13,913,426.00",2021-2022,0,XV Finance Commission,1,0,SIRSA,1,85592872,6,HARYANA,0,74,1,42615600,North,0.00E+00,71679446,6,42977272,1
"47,373,216.00","12,920,907.00",2021-2022,0,XV Finance Commission,1,0,SONIPAT,1,83655624,6,HARYANA,0,75,1,53009359,North,0.00E+00,70734717,6,30646265,1
"35,474,322.00","7,423,116.00",2021-2022,0,XV Finance Commission,1,0,YAMUNANAGAR,1,54495941,6,HARYANA,0,76,1,40760520,North,0.00E+00,47072825,6,13735421,1
"39,428,011.00",0.00,2021-2022,0,XV Finance Commission,1,0,AJMER,1,61240390,8,RAJASTHAN,0,77,1,26678000,North,0.00E+00,61240390,8,34562390,1
"62,688,110.00","24,962,133.00",2021-2022,0,XV Finance Commission,1,0,ALWAR,1,97366040,8,RAJASTHAN,0,78,1,42414000,North,0.00E+00,72403907,8,54952040,1
"51,429,080.00","13,813,000.00",2021-2022,0,XV Finance Commission,1,0,BANSWARA,1,84796930,8,RAJASTHAN,0,79,1,24071800,North,0.00E+00,70983930,8,60725130,1
"31,336,920.00","2,860,000.00",2021-2022,0,XV Finance Commission,1,0,BARAN,1,48671770,8,RAJASTHAN,0,80,1,21202000,North,0.00E+00,45811770,8,27469770,1
"69,680,410.00",0.00,2021-2022,0,XV Finance Commission,1,0,BARMER,1,104724770,8,RAJASTHAN,0,81,1,47144000,North,0.00E+00,104724770,8,57580770,1
"43,680,470.00",0.00,2021-2022,0,XV Finance Commission,1,0,BHARATPUR,1,29554000,8,RAJASTHAN,0,82,1,29554000,North,0.00E+00,29554000,8,0.00E+00,1
"50,487,260.00",0.00,2021-2022,0,XV Finance Commission,1,0,BHILWARA,1,0.00E+00,8,RAJASTHAN,0,83,1,0.00E+00,North,0.00E+00,0.00E+00,8,0.00E+00,1
"55,852,780.00",0.00,2021-2022,0,XV Finance Commission,1,0,BIKANER,1,66147940,8,RAJASTHAN,0,84,1,17187720,North,0.00E+00,66147940,8,48960220,1
"30,866,011.00",0.00,2021-2022,0,XV Finance Commission,1,0,BUNDI,1,28590090,8,RAJASTHAN,0,85,1,0.00E+00,North,0.00E+00,28590090,8,28590090,1
"35,931,860.00",0.00,2021-2022,0,XV Finance Commission,1,0,CHITTORGARH,1,19003944,8,RAJASTHAN,0,86,1,0.00E+00,North,0.00E+00,19003944,8,19003944,1
"40,027,350.00","1,853,277.00",2021-2022,0,XV Finance Commission,1,0,CHURU,1,60179795,8,RAJASTHAN,0,87,1,25092015,North,0.00E+00,58326518,8,35087780,1
"38,229,331.00","2,875,000.00",2021-2022,0,XV Finance Commission,1,0,DAUSA,1,59377610,8,RAJASTHAN,0,88,1,25866000,North,0.00E+00,56502610,8,33511610,1
"27,769,420.00","10,500,000.00",2021-2022,0,XV Finance Commission,1,0,DHOLPUR,1,39829000,8,RAJASTHAN,0,89,1,15488000,North,0.00E+00,29329000,8,24341000,1
"40,997,711.00",0.00,2021-2022,0,XV Finance Commission,1,0,DUNGARPUR,1,37300000,8,RAJASTHAN,0,90,1,23431000,North,0.00E+00,37300000,8,13869000,1
"44,636,558.00",0.00,2021-2022,0,XV Finance Commission,0,1,GANGANAGAR,1,69330180,8,RAJASTHAN,0,91,1,0.00E+00,North,0.00E+00,69330180,8,69330180,1
"37,915,390.00","1,465,961.00",2021-2022,0,XV Finance Commission,1,0,HANUMANGARH,1,53920767,8,RAJASTHAN,0,92,1,20502000,North,0.00E+00,52454806,8,33418767,1
"67,910,929.00",0.00,2021-2022,1,XV Finance Commission,1,0,JAIPUR,1,59529260,8,RAJASTHAN,0,93,1,22973000,North,0.00E+00,59529260,8,36556260,0
"45,392,870.00","14,036,000.00",2021-2022,0,XV Finance Commission,1,0,JAISALMER,1,70503130,8,RAJASTHAN,0,94,1,30712000,North,0.00E+00,56467130,8,39791130,1
"43,280,910.00","7,350,000.00",2021-2022,0,XV Finance Commission,1,0,JALORE,1,37859807,8,RAJASTHAN,0,95,1,14561087,North,0.00E+00,30509807,8,23298720,1
"33,662,929.00","250,000.00",2021-2022,0,XV Finance Commission,1,0,JHALAWAR,1,22776000,8,RAJASTHAN,0,96,1,22776000,North,0.00E+00,22526000,8,0.00E+00,1
"36,631,090.00","3,050,000.00",2021-2022,0,XV Finance Commission,1,0,JHUNJHUNU,1,49090400,8,RAJASTHAN,0,97,1,24306000,North,0.00E+00,46040400,8,24784400,1
"62,845,080.00",0.00,2021-2022,0,XV Finance Commission,1,0,JODHPUR,1,97609640,8,RAJASTHAN,0,98,1,0.00E+00,North,0.00E+00,97609640,8,97609640,1
"37,444,481.00",0.00,2021-2022,0,XV Finance Commission,1,0,KARAULI,1,58248675,8,RAJASTHAN,0,99,1,0.00E+00,North,0.00E+00,58248675,8,58248675,1
"24,729,910.00",0.00,2021-2022,0,XV Finance Commission,1,0,KOTA,1,46776090,8,RAJASTHAN,0,100,1,8366000,North,0.00E+00,46776090,8,38410090,1
"63,644,200.00","9,419,568.00",2021-2022,0,XV Finance Commission,1,0,NAGAUR,1,71052417,8,RAJASTHAN,0,101,1,15262257,North,0.00E+00,61632849,8,55790160,1
"45,521,299.00",0.00,2021-2022,0,XV Finance Commission,1,0,PALI,1,38081500,8,RAJASTHAN,0,102,1,22681500,North,0.00E+00,38081500,8,15400000,1
"27,412,669.00","6,624,077.00",2021-2022,0,XV Finance Commission,1,0,RAJSAMAND,1,42650572,8,RAJASTHAN,0,103,1,0.00E+00,North,0.00E+00,36026495,8,42650572,1
"32,364,360.00",0.00,2021-2022,0,XV Finance Commission,1,0,SAWAI MADHOPUR,1,50168650,8,RAJASTHAN,0,104,1,0.00E+00,North,0.00E+00,50168650,8,50168650,1
"43,452,150.00",0.00,2021-2022,0,XV Finance Commission,1,0,SIKAR,1,67487920,8,RAJASTHAN,0,105,1,29398000,North,0.00E+00,67487920,8,38089920,1
"28,882,481.00",0.00,2021-2022,0,XV Finance Commission,1,0,SIROHI,1,40360220,8,RAJASTHAN,0,106,1,15042000,North,0.00E+00,40360220,8,25318220,1
"33,662,929.00",0.00,2021-2022,0,XV Finance Commission,1,0,TONK,1,42360225,8,RAJASTHAN,0,107,1,12851500,North,0.00E+00,42360225,8,29508725,1
"69,309,391.00",0.00,2021-2022,0,XV Finance Commission,1,0,UDAIPUR,1,84200960,8,RAJASTHAN,0,108,1,23445000,North,0.00E+00,84200960,8,60755960,1
"179,714,154.00","139,934,562.00",2021-2022,0,XV Finance Commission,1,0,AGRA,1,373092619.4,9,UTTAR PRADESH,0,109,1,183116826.4,Central,89850996,233158057.4,9,189975793,1
"164,846,317.00","33,603,311.00",2021-2022,0,XV Finance Commission,1,0,ALIGARH,1,311613052.8,9,UTTAR PRADESH,0,110,1,226172180.8,Central,82417561,278009741.8,9,85440872,1
"294,389,126.00","26,222,907.00",2021-2022,0,XV Finance Commission,1,0,PRAYAGRAJ,1,502827407,9,UTTAR PRADESH,0,111,1,355642987,Central,147184420,476604500,9,147184420,1
"142,140,577.00","16,571,842.00",2021-2022,0,XV Finance Commission,1,0,AMBEDKAR NAGAR,1,220729641.3,9,UTTAR PRADESH,0,112,1,100566703.3,Central,71065336,204157799.3,9,120162938,1
"83,328,288.00","12,787,000.00",2021-2022,0,XV Finance Commission,1,0,AURAIYA,1,131299586,9,UTTAR PRADESH,0,113,1,113379608,Central,41661328,118512586,9,17919978,1
"290,547,402.00","61,287,924.00",2021-2022,0,XV Finance Commission,1,0,AZAMGARH,1,599648640,9,UTTAR PRADESH,0,114,1,396275674,Central,145263486,538360716,9,203372966,1
"70,363,704.00","6,960,237.00",2021-2022,0,XV Finance Commission,1,0,BAGHPAT,1,116843807,9,UTTAR PRADESH,0,115,1,80134525,Central,35179408,109883570,9,36709282,1
"223,089,255.00","8,292,816.00",2021-2022,0,XV Finance Commission,1,0,BAHRAICH,1,416141400,9,UTTAR PRADESH,0,116,1,304604412,Central,111536988,407848584,9,111536988,1
"197,908,344.00",0.00,2021-2022,0,XV Finance Commission,1,0,BALLIA,1,372089255,9,UTTAR PRADESH,0,117,1,269579975,Central,98947193,372089255,9,102509280,1
"141,713,190.00","75,757,059.00",2021-2022,0,XV Finance Commission,1,0,BALRAMPUR,1,201392284,9,UTTAR PRADESH,0,118,1,130540503,Central,70851781,125635225,9,70851781,1
"115,646,312.00","54,565,173.00",2021-2022,0,XV Finance Commission,1,0,BANDA,1,240814076,9,UTTAR PRADESH,0,119,1,78770751,Central,57819532,186248903,9,162043325,1
"202,350,449.00","24,787,392.00",2021-2022,0,XV Finance Commission,1,0,BARABANKI,1,378126946,9,UTTAR PRADESH,0,120,1,275758674,Central,101168272,353339554,9,102368272,1
"209,915,954.00","67,073,941.00",2021-2022,0,XV Finance Commission,1,0,BAREILLY,1,390445165,9,UTTAR PRADESH,0,121,1,283956254,Central,104950735,323371224,9,106488911,1
"150,066,854.00","24,523,520.00",2021-2022,0,XV Finance Commission,1,0,BASTI,1,284010335,9,UTTAR PRADESH,0,122,1,208982128,Central,75028207,259486815,9,75028207,1
"197,652,949.00","108,307,861.00",2021-2022,0,XV Finance Commission,1,0,BIJNOR,1,316179402,9,UTTAR PRADESH,0,123,1,216186089,Central,98819717,207871541,9,99993313,1
"180,452,505.00",0.00,2021-2022,0,XV Finance Commission,1,0,BUDAUN,1,460083192,9,UTTAR PRADESH,0,124,1,367336663,Central,90220149,460083192,9,92746529,1
"184,856,649.00","63,299,763.00",2021-2022,0,XV Finance Commission,1,0,BULANDSHAHR,1,286668531,9,UTTAR PRADESH,0,125,1,192678707,Central,92789824,223368768,9,93989824,1
"121,834,215.00","39,490,428.00",2021-2022,0,XV Finance Commission,1,0,CHANDAULI,1,175683249,9,UTTAR PRADESH,0,126,1,83345737,Central,60912845,136192821,9,92337512,1
"69,231,326.00","987,840.00",2021-2022,0,XV Finance Commission,1,0,CHITRAKOOT,1,179776616,9,UTTAR PRADESH,0,127,1,121069567,Central,34613584,178788776,9,58707049,1
"188,155,028.00","8,883,840.00",2021-2022,0,XV Finance Commission,1,0,DEORIA,1,476760112,9,UTTAR PRADESH,0,128,1,382689263,Central,94070849,467876272,9,94070849,1
"108,368,369.00","32,097,204.00",2021-2022,0,XV Finance Commission,1,0,ETAH,1,185342191,9,UTTAR PRADESH,0,129,1,131161670,Central,54180521,153244987,9,54180521,1
"88,074,815.00","12,594,933.00",2021-2022,0,XV Finance Commission,1,0,ETAWAH,1,165593169,9,UTTAR PRADESH,0,130,1,120025647,Central,44034491,152998236,9,45567522,1
"140,765,333.00","11,291,852.00",2021-2022,0,XV Finance Commission,1,0,AYODHYA,1,265329542,9,UTTAR PRADESH,0,131,1,192369390,Central,70377811,254037690,9,72960152,1
"103,447,384.00","16,781,849.00",2021-2022,0,XV Finance Commission,1,0,FARRUKHABAD,1,167065326,9,UTTAR PRADESH,0,132,1,125037521,Central,51720202,150283477,9,42027805,1
"164,568,883.00","12,007,540.00",2021-2022,0,XV Finance Commission,1,0,FATEHPUR,1,366682385,9,UTTAR PRADESH,0,133,1,225050503,Central,82278915,354674845,9,141631882,1
"116,070,049.00","82,383,182.00",2021-2022,0,XV Finance Commission,1,0,FIROZABAD,1,210855145,9,UTTAR PRADESH,0,134,1,149806588,Central,58031074,128471963,9,61048557,1
"23,488,832.00",0.00,2021-2022,0,XV Finance Commission,0,1,GAUTAM BUDDHA NAGAR,1,31984080,9,UTTAR PRADESH,0,135,1,31984080,Central,11743835,31984080,9,0.00E+00,1
"48,448,421.00",0.00,2021-2022,0,XV Finance Commission,1,0,GHAZIABAD,1,24222545,9,UTTAR PRADESH,0,136,1,0.00E+00,Central,24222545,24222545,9,24222545,1
"230,525,756.00","12,387,935.00",2021-2022,0,XV Finance Commission,1,0,GHAZIPUR,1,428178861.6,9,UTTAR PRADESH,0,137,1,312924106.6,Central,115254755,415790926.6,9,115254755,1
"227,456,679.00","79,062,976.00",2021-2022,0,XV Finance Commission,1,0,GONDA,1,392751480,9,UTTAR PRADESH,0,138,1,197623625,Central,113720538,313688504,9,195127855,1
"233,460,162.00","63,128,723.00",2021-2022,0,XV Finance Commission,1,0,GORAKHPUR,1,585836347,9,UTTAR PRADESH,0,139,1,469114498,Central,116721849,522707624,9,116721849,1
"73,850,534.00","25,983,800.00",2021-2022,0,XV Finance Commission,1,0,HAMIRPUR,1,138752746,9,UTTAR PRADESH,0,140,1,100505893,Central,36923170,112768946,9,38246853,1
"259,890,390.00","4,990,437.00",2021-2022,0,XV Finance Commission,1,0,HARDOI,1,444155018.7,9,UTTAR PRADESH,0,141,1,311387494.7,Central,129936451,439164581.7,9,132767524,1
"85,197,971.00","43,742,883.00",2021-2022,0,XV Finance Commission,1,0,JALAUN,1,212796594,9,UTTAR PRADESH,0,142,1,153161045,Central,42595955,169053711,9,59635549,1
"278,375,885.00","16,842,896.00",2021-2022,0,XV Finance Commission,1,0,JAUNPUR,1,525007994,9,UTTAR PRADESH,0,143,1,186702713,Central,139178149,508165098,9,338305281,1
"99,014,948.00",0.00,2021-2022,0,XV Finance Commission,1,0,JHANSI,1,154715732,9,UTTAR PRADESH,0,144,1,134912742,Central,49504584,154715732,9,19802990,1
"97,269,423.00","17,291,433.00",2021-2022,0,XV Finance Commission,1,0,AMROHA,1,183175148,9,UTTAR PRADESH,0,145,1,133543744,Central,48631404,165883715,9,49631404,1
"97,189,237.00","43,696,465.00",2021-2022,0,XV Finance Commission,1,0,KANNAUJ,1,181222664,9,UTTAR PRADESH,0,146,1,99762235,Central,48591319,137526199,9,81460429,1
"112,574,378.00","17,191,183.00",2021-2022,0,XV Finance Commission,1,0,KANPUR DEHAT,1,308532249,9,UTTAR PRADESH,0,147,1,229733869,Central,56283504,291341066,9,78798380,1
"113,892,513.00","10,715,600.00",2021-2022,0,XV Finance Commission,1,0,KANPUR NAGAR,1,179365043,9,UTTAR PRADESH,0,148,1,155383465,Central,56942442,168649443,9,23981578,1
"92,099,299.00","17,576,006.00",2021-2022,0,XV Finance Commission,1,0,KAUSHAMBI,1,144970343,9,UTTAR PRADESH,0,149,1,125868400,Central,46046490,127394337,9,19101943,1
"260,427,297.00","85,701,002.00",2021-2022,0,XV Finance Commission,1,0,KHERI,1,520154913,9,UTTAR PRADESH,0,150,1,285779002,Central,130204993,434453911,9,234375911,1
"207,449,892.00","60,379,211.00",2021-2022,0,XV Finance Commission,1,0,KUSHI NAGAR,1,418258768,9,UTTAR PRADESH,0,151,1,240736716,Central,103717588,357879557,9,177522052,1
"90,199,577.00","34,254,361.00",2021-2022,0,XV Finance Commission,1,0,LALITPUR,1,195984762,9,UTTAR PRADESH,0,152,1,177944847,Central,45097261,161730401,9,18039915,1
"90,134,310.00","29,887,019.00",2021-2022,0,XV Finance Commission,1,0,LUCKNOW,1,148118375.7,9,UTTAR PRADESH,0,153,1,101612930.7,Central,45064113,118231356.7,9,46505445,1
"84,915,004.00",0.00,2021-2022,0,XV Finance Commission,1,0,HATHRAS,1,159226036,9,UTTAR PRADESH,0,154,1,115733559,Central,42454604,159226036,9,43492477,1
"162,795,851.00","62,360,816.00",2021-2022,0,XV Finance Commission,1,0,MAHARAJGANJ,1,409399105,9,UTTAR PRADESH,0,155,1,271749979,Central,81392237,347038289,9,137649126,1
"60,149,660.00","36,419,510.00",2021-2022,0,XV Finance Commission,1,0,MAHOBA,1,112274563,9,UTTAR PRADESH,0,156,1,81758926,Central,30073159,75855053,9,30515637,1
"110,590,580.00",0.00,2021-2022,0,XV Finance Commission,1,0,MAINPURI,1,169153753,9,UTTAR PRADESH,0,157,1,113862140,Central,55291613,169153753,9,55291613,1
"120,054,011.00","11,716,630.00",2021-2022,0,XV Finance Commission,1,0,MATHURA,1,204239285.6,9,UTTAR PRADESH,0,158,1,142260425.6,Central,60023070,192522655.6,9,61978860,1
"112,081,732.00","22,960,592.00",2021-2022,0,XV Finance Commission,1,0,MAU,1,245765980,9,UTTAR PRADESH,0,159,1,189729186,Central,56036794,222805388,9,56036794,1
"116,559,830.00","27,528,604.00",2021-2022,0,XV Finance Commission,1,0,MEERUT,1,216972823,9,UTTAR PRADESH,0,160,1,158696900,Central,58275923,189444219,9,58275923,1
"159,772,456.00","55,634,902.00",2021-2022,0,XV Finance Commission,1,0,MIRZAPUR,1,404422804,9,UTTAR PRADESH,0,161,1,229281982,Central,79880941,348787902,9,175140822,1
"132,541,121.00","15,026,195.00",2021-2022,0,XV Finance Commission,1,0,MORADABAD,1,274963835,9,UTTAR PRADESH,0,162,1,181207698,Central,66265856,259937640,9,93756137,1
"151,973,114.00","31,351,287.00",2021-2022,0,XV Finance Commission,1,0,MUZAFFARNAGAR,1,313389720,9,UTTAR PRADESH,0,163,1,207013795,Central,75981302,282038433,9,106375925,1
"124,477,823.00","4,904,950.00",2021-2022,0,XV Finance Commission,1,0,PILIBHIT,1,233453087,9,UTTAR PRADESH,0,164,1,169103199,Central,62234823,228548137,9,64349888,1
"200,533,377.00","23,361,909.00",2021-2022,0,XV Finance Commission,1,0,PRATAPGARH,1,411857207,9,UTTAR PRADESH,0,165,1,269849195,Central,100259761,388495298,9,142008012,1
"180,669,564.00","64,468,723.00",2021-2022,0,XV Finance Commission,1,0,RAE BARELI,1,227159126,9,UTTAR PRADESH,0,166,1,136830649,Central,90328477,162690403,9,90328477,1
"120,445,542.00","21,296,889.00",2021-2022,0,XV Finance Commission,1,0,RAMPUR,1,225905146,9,UTTAR PRADESH,0,167,1,163526030,Central,60218624,204608257,9,62379116,1
"169,412,424.00",0.00,2021-2022,0,XV Finance Commission,1,0,SAHARANPUR,1,315351599,9,UTTAR PRADESH,0,168,1,230651223,Central,84700376,315351599,9,84700376,1
"104,082,758.00","37,445,938.00",2021-2022,0,XV Finance Commission,1,0,SANT KABEER NAGAR,1,189676994,9,UTTAR PRADESH,0,169,1,136886236,Central,52037736,152231056,9,52790758,1
"89,090,965.00","7,595,952.00",2021-2022,0,XV Finance Commission,1,0,SANT RAVIDAS NAGAR,1,167478376,9,UTTAR PRADESH,0,170,1,122936090,Central,44542286,159882424,9,44542286,1
"169,514,879.00","95,039,957.00",2021-2022,0,XV Finance Commission,1,0,SHAHJAHANPUR,1,509526799,9,UTTAR PRADESH,0,171,1,268602124,Central,84751786,414486842,9,240924675,1
"75,913,758.00","10,575,662.00",2021-2022,0,XV Finance Commission,1,0,SHRAVASTI,1,116613839,9,UTTAR PRADESH,0,172,1,77928327,Central,37954309,106038177,9,38685512,1
"156,945,748.00","6,419,202.00",2021-2022,0,XV Finance Commission,1,0,SIDDHARTH NAGAR,1,291450308,9,UTTAR PRADESH,0,173,1,212982835,Central,78467473,285031106,9,78467473,1
"280,889,638.00","113,432,000.00",2021-2022,0,XV Finance Commission,1,0,SITAPUR,1,349166159,9,UTTAR PRADESH,0,174,1,289498724,Central,56177928,235734159,9,59667435,1
